City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
222,Nuuk,64.1835,-51.7216,270.86,79,97,8.05,GL,2022-04-17 15:56:23
223,San Patricio,28.017,-97.5169,302.2,61,80,4.57,US,2022-04-17 15:56:23
224,Samarai,-10.6167,150.6667,300.91,79,94,3.91,PG,2022-04-17 15:56:24
225,Awjilah,29.1081,21.2869,300.99,24,6,8.31,LY,2022-04-17 15:56:24
226,Banda Aceh,5.5577,95.3222,300.18,73,41,2.11,ID,2022-04-17 15:56:24
227,Portland,45.5234,-122.6762,281.78,78,20,3.09,US,2022-04-17 15:51:45
228,Balabac,7.9868,117.0645,300.59,79,36,3.61,PH,2022-04-17 15:56:25
229,Chebarkul,54.9749,60.3633,278.7,67,61,2.27,RU,2022-04-17 15:56:25
230,Huanren,41.2647,125.3667,282.68,45,99,0.55,CN,2022-04-17 15:57:25
231,Upernavik,72.7868,-56.1549,251.49,85,98,7.0,GL,2022-04-17 15:57:26
232,Muros,42.7762,-9.0603,295.2,62,45,6.52,ES,2022-04-17 15:57:26
233,Kiunga,-6.1219,141.2906,296.36,100,100,1.1,PG,2022-04-17 15:57:26
234,Presidente Epitacio,-21.7633,-52.1156,299.13,40,0,3.44,BR,2022-04-17 15:57:27
235,Romny,50.751,33.4747,276.77,89,100,2.31,UA,2022-04-17 15:57:27
236,Indiana,40.0003,-86.2503,280.18,49,0,5.14,US,2022-04-17 15:57:27
237,Egvekinot,66.3167,-179.1667,266.82,91,89,4.22,RU,2022-04-17 15:57:28
238,Paamiut,61.994,-49.6678,271.69,77,100,2.52,GL,2022-04-17 15:57:28
239,Pokhara,28.2333,83.9833,296.92,23,27,3.42,NP,2022-04-17 15:56:34
240,Derzhavinsk,51.1,66.3167,287.11,54,98,3.09,KZ,2022-04-17 15:57:28
241,Umm Kaddadah,13.6017,26.6876,309.61,16,84,1.09,SD,2022-04-17 15:57:29
242,Walvis Bay,-22.9575,14.5053,294.68,52,0,3.6,NA,2022-04-17 15:57:29
243,Hasaki,35.7333,140.8333,284.42,68,76,3.69,JP,2022-04-17 15:57:29
244,Merauke,-8.4667,140.3333,300.03,81,100,1.3,ID,2022-04-17 15:57:30
245,Killybegs,54.6333,-8.45,285.99,91,100,4.37,IE,2022-04-17 15:57:30
246,Guilin,25.2819,110.2864,286.21,92,100,1.95,CN,2022-04-17 15:57:30
247,Fort Abbas,29.1925,72.8536,308.12,6,40,1.84,PK,2022-04-17 15:57:31
248,Thinadhoo,0.5333,72.9333,301.99,70,85,4.14,MV,2022-04-17 15:57:31
249,Ati,13.2154,18.3353,312.62,20,71,1.78,TD,2022-04-17 15:57:31
250,Seoul,37.5683,126.9778,283.93,60,75,1.03,KR,2022-04-17 15:48:12
251,Basco,20.4487,121.9702,297.57,79,70,9.01,PH,2022-04-17 15:57:32
252,Bembereke,10.2283,2.6634,308.5,22,51,2.36,BJ,2022-04-17 15:57:32
253,Valparaiso,-33.0393,-71.6273,286.75,88,100,2.06,CL,2022-04-17 15:57:32
254,Los Llanos De Aridane,28.6585,-17.9182,295.01,69,0,6.69,ES,2022-04-17 15:57:33
255,Avera,33.194,-82.5271,296.88,56,74,1.91,US,2022-04-17 15:56:22
256,Lorengau,-2.0226,147.2712,300.52,81,65,2.16,PG,2022-04-17 15:57:33
257,Souillac,-20.5167,57.5167,299.36,94,40,3.09,MU,2022-04-17 15:57:33
258,Kazachinskoye,57.6953,93.2761,280.89,91,98,2.7,RU,2022-04-17 15:57:34
259,Rio Grande,-32.035,-52.0986,299.21,61,86,4.31,BR,2022-04-17 15:57:34
260,Kulhudhuffushi,6.6221,73.07,302.39,74,100,4.86,MV,2022-04-17 15:57:34
261,Bambous Virieux,-20.3428,57.7575,299.38,94,40,3.09,MU,2022-04-17 15:57:35
262,Sur,22.5667,59.5289,304.85,41,46,3.51,OM,2022-04-17 15:57:35
263,Geraldton,-28.7667,114.6,289.38,63,18,7.2,AU,2022-04-17 15:57:35
264,General Bravo,25.8,-99.1667,303.47,55,8,2.72,MX,2022-04-17 15:57:36
265,Victor Harbor,-35.5667,138.6167,289.08,91,100,0.74,AU,2022-04-17 15:57:36
266,Guerrero Negro,27.9769,-114.0611,291.49,67,50,6.39,MX,2022-04-17 15:57:36
267,Aklavik,68.2191,-135.0107,257.15,60,75,2.57,CA,2022-04-17 15:57:36
268,Lavrentiya,65.5833,-171.0,271.29,96,100,5.91,RU,2022-04-17 15:57:37
269,Mar Del Plata,-38.0023,-57.5575,294.16,83,40,2.68,AR,2022-04-17 15:54:26
270,Batu,-7.87,112.5283,293.27,95,100,0.48,ID,2022-04-17 15:57:37
271,Kahului,20.8947,-156.47,295.84,86,25,0.89,US,2022-04-17 15:56:48
272,Sabha,27.0377,14.4283,297.49,22,74,6.64,LY,2022-04-17 15:57:38
273,Terme,41.2092,36.9739,286.23,72,100,3.45,TR,2022-04-17 15:57:38
