City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
263,Geraldton,AU,2022-04-17 15:57:35,-28.7667,114.6,289.38,63,18,7.2
264,General Bravo,MX,2022-04-17 15:57:36,25.8,-99.1667,303.47,55,8,2.72
265,Victor Harbor,AU,2022-04-17 15:57:36,-35.5667,138.6167,289.08,91,100,0.74
266,Guerrero Negro,MX,2022-04-17 15:57:36,27.9769,-114.0611,291.49,67,50,6.39
267,Aklavik,CA,2022-04-17 15:57:36,68.2191,-135.0107,257.15,60,75,2.57
268,Lavrentiya,RU,2022-04-17 15:57:37,65.5833,-171.0,271.29,96,100,5.91
269,Mar Del Plata,AR,2022-04-17 15:54:26,-38.0023,-57.5575,294.16,83,40,2.68
270,Batu,ID,2022-04-17 15:57:37,-7.87,112.5283,293.27,95,100,0.48
271,Kahului,US,2022-04-17 15:56:48,20.8947,-156.47,295.84,86,25,0.89
272,Sabha,LY,2022-04-17 15:57:38,27.0377,14.4283,297.49,22,74,6.64
273,Terme,TR,2022-04-17 15:57:38,41.2092,36.9739,286.23,72,100,3.45
274,Itapaci,BR,2022-04-17 15:57:38,-14.9508,-49.5494,303.12,50,67,1.96
275,Saravena,CO,2022-04-17 15:57:38,6.9538,-71.8752,295.77,96,100,0.69
276,Tambun,ID,2022-04-17 15:58:39,-6.2641,107.0712,302.61,84,79,2.16
277,Chokurdakh,RU,2022-04-17 15:58:39,70.6333,147.9167,250.42,100,48,2.04
278,Zenzeli,RU,2022-04-17 15:58:39,45.9241,47.0474,288.13,53,23,5.28
279,Thompson,CA,2022-04-17 15:55:10,55.7435,-97.8558,267.24,53,20,0.0
280,Bowen,AU,2022-04-17 15:55:09,-20.0167,148.2333,295.39,81,1,4.39
281,Te Anau,NZ,2022-04-17 15:58:40,-45.4167,167.7167,280.25,93,22,0.95
282,Laguna,US,2022-04-17 15:58:40,38.421,-121.4238,288.2,77,0,4.12
283,Hauterive,FR,2022-04-17 15:58:41,46.0901,3.4459,292.57,40,3,3.69
284,Coromandel,BR,2022-04-17 15:58:41,-18.4733,-47.2003,299.43,45,36,2.74
285,Komsomolskiy,UZ,2022-04-17 15:58:41,40.4272,71.7189,295.55,24,42,2.06
286,Naze,JP,2022-04-17 15:58:42,28.3667,129.4833,290.66,62,82,2.82
